Date,Region,Sales_Rep,Product,Units_Sold,Unit_Price,Customer_Type,Revenue
2024-11-23,South,Rep_2,Widget B,39,133.46,New,5204.94
2024-02-27,East,Rep_2,Widget C,29,19.13,New,554.77
2024-01-13,North,Rep_8,Premium Pack,15,190.34,Repeat,2855.1
2024-05-20,North,Rep_3,Widget B,43,178.47,Repeat,7674.21
2024-05-05,West,Rep_5,Widget A,8,59.57,New,476.56
2024-04-24,East,Rep_1,Premium Pack,21,12.91,Repeat,271.11
2024-03-12,East,Rep_1,Widget A,39,187.35,Repeat,7306.65
2024-02-22,West,Rep_6,Widget C,19,105.2,New,1998.8
2024-12-12,North,Rep_1,Widget A,23,112.48,Repeat,2587.04
2024-10-06,West,Rep_5,Widget B,11,139.95,Repeat,923.67
2024-02-14,South,Rep_6,Widget A,11,127.01,Repeat,1397.11
2024-10-29,East,Rep_6,Widget B,24,189.34,Repeat,4544.16
2024-08-04,North,Rep_7,Premium Pack,36,189.41,Repeat,6818.76
2024-01-17,West,Rep_3,Premium Pack,40,174.77,Repeat,6990.8
2024-01-16,North,Rep_4,Widget B,24,130.92,New,3142.08
2024-02-17,South,Rep_9,Widget C,3,162.18,Repeat,486.54
2024-04-21,East,Rep_7,Widget C,22,138.66,Repeat,3050.52
2024-04-29,West,Rep_10,Widget C,2,118.94,Repeat,237.88
2024-09-15,North,Rep_3,Premium Pack,24,34.42,New,826.08
2024-11-04,East,Rep_3,Premium Pack,44,164.13,Repeat,7221.72
2024-01-14,East,Rep_3,Widget C,30,165.92,New,4977.6
2024-10-14,North,Rep_2,Widget A,38,128.93,Repeat,4899.34
2024-04-11,East,Rep_10,Widget C,2,165.88,New,331.76
2024-11-28,East,Rep_7,Widget A,21,133.78,Repeat,2809.38
2024-12-25,West,Rep_10,Widget C,33,49.27,Repeat,975.546
2024-10-06,East,Rep_4,Widget A,12,62.05,Repeat,744.6
2024-08-02,West,Rep_8,Premium Pack,22,50.77,Repeat,1116.94
2024-04-22,East,Rep_10,Widget C,44,81.68,New,3593.92
2024-08-17,South,Rep_3,Widget C,25,17.4,New,435.0
2024-10-28,South,Rep_4,Widget B,49,127.47,Repeat,6246.03
2024-05-22,West,Rep_8,Widget C,27,73.95,Repeat,1996.65
2024-01-04,West,Rep_5,Widget A,42,134.59,New,5652.78
2024-03-22,South,Rep_8,Widget B,28,83.23,New,2330.44
2024-12-23,East,Rep_5,Widget C,16,139.51,New,2232.16
2024-08-04,West,Rep_1,Widget C,15,74.72,New,1120.8
2024-06-23,North,Rep_8,Premium Pack,47,59.53,New,2797.91
2024-05-22,East,Rep_5,Widget B,44,104.25,New,4587.0
2024-03-20,East,Rep_9,Widget A,3,141.65,New,424.95
2024-04-20,South,Rep_3,Widget C,37,76.18,New,2818.66
2024-06-21,West,Rep_2,Premium Pack,7,187.96,New,1315.72
2024-02-22,East,Rep_8,Widget C,21,17.45,Repeat,366.45
2024-02-17,West,Rep_6,Widget B,9,89.41,Repeat,804.69
2024-07-13,West,Rep_10,Widget A,39,193.84,Repeat,7559.76
2024-02-19,West,Rep_5,Premium Pack,18,114.11,New,2053.98
2024-07-02,South,Rep_7,Widget C,4,90.46,New,361.84
2024-06-25,West,Rep_5,Widget A,25,118.02,New,2950.5
2024-11-05,South,Rep_8,Widget C,14,119.43,New,1672.02
2024-05-15,North,Rep_5,Widget C,9,149.01,Repeat,1341.09
2024-01-23,East,Rep_4,Widget B,26,34.26,Repeat,890.76
2024-08-23,East,Rep_7,Widget B,2,57.5,Repeat,115.0
2024-10-01,North,Rep_8,Widget C,20,120.3,New,2406.0
2024-03-04,South,Rep_2,Premium Pack,28,174.75,Repeat,4893.0
2024-07-12,East,Rep_4,Widget B,47,116.75,Repeat,5487.25
2024-02-10,South,Rep_7,Widget B,7,55.33,Repeat,387.31
2024-10-09,South,Rep_10,Widget B,44,139.17,New,6123.48
2024-05-30,South,Rep_6,Widget B,8,150.58,New,1204.64
2024-11-17,North,Rep_10,Widget A,47,55.26,New,2597.22
2024-11-12,North,Rep_5,Widget C,35,81.77,New,2861.95
2024-07-04,South,Rep_5,Widget A,14,111.52,New,1561.28
2024-10-22,West,Rep_1,Widget A,17,104.35,Repeat,1064.37
2024-04-08,North,Rep_7,Widget C,36,84.03,New,3025.08
2024-12-26,West,Rep_5,Widget B,40,66.55,New,1597.2
2024-02-05,West,Rep_1,Premium Pack,4,29.0,Repeat,116.0
2024-01-24,South,Rep_10,Widget B,2,20.16,Repeat,40.32
2024-12-04,West,Rep_1,Widget B,6,192.12,New,691.632
2024-04-26,West,Rep_10,Widget B,42,170.96,Repeat,7180.32
2024-05-28,West,Rep_8,Widget B,4,77.43,New,309.72
2024-02-10,South,Rep_5,Premium Pack,29,191.79,New,5561.91
2024-04-29,South,Rep_4,Widget A,18,138.59,Repeat,2494.62
2024-02-21,North,Rep_10,Premium Pack,26,101.68,New,2643.68
2024-07-13,North,Rep_6,Widget C,44,103.67,Repeat,4561.48
2024-05-22,West,Rep_4,Widget B,34,25.82,Repeat,877.88
2024-08-20,South,Rep_4,Premium Pack,10,27.42,Repeat,274.2
2024-11-21,South,Rep_10,Widget C,36,124.46,Repeat,4480.56
2024-07-05,West,Rep_5,Premium Pack,14,115.2,New,1612.8
2024-03-24,North,Rep_3,Widget B,31,50.42,Repeat,1563.02
2024-07-08,South,Rep_2,Widget B,48,189.78,Repeat,9109.44
2024-06-30,North,Rep_1,Widget C,15,158.45,New,2376.75
2024-04-17,West,Rep_5,Premium Pack,8,31.56,New,252.48
2024-12-09,South,Rep_8,Widget B,14,186.88,Repeat,2616.32
2024-05-16,West,Rep_1,Widget C,23,195.11,New,4487.53
2024-12-25,East,Rep_10,Premium Pack,40,199.23,Repeat,7969.2
2024-12-15,West,Rep_6,Premium Pack,21,20.62,Repeat,259.81199999999995
2024-11-27,West,Rep_3,Widget C,16,150.04,New,1440.3839999999998
2024-02-06,West,Rep_2,Premium Pack,45,113.72,New,5117.4
2024-11-07,South,Rep_5,Premium Pack,18,144.11,Repeat,2593.98
2024-11-21,West,Rep_6,Widget B,47,194.04,Repeat,5471.927999999999
2024-03-28,West,Rep_7,Widget B,24,140.73,New,3377.52
2024-09-30,East,Rep_3,Widget B,26,169.02,New,4394.52
2024-05-05,South,Rep_4,Widget C,25,174.71,Repeat,4367.75
2024-03-24,East,Rep_3,Widget A,45,169.31,Repeat,7618.95
2024-08-24,West,Rep_9,Premium Pack,41,90.96,Repeat,3729.36
2024-07-13,South,Rep_6,Widget C,29,52.29,New,1516.41
2024-05-18,East,Rep_9,Widget A,15,85.36,Repeat,1280.4
2024-11-23,West,Rep_9,Widget A,45,179.46,New,4845.42
2024-12-18,North,Rep_5,Widget C,1,37.85,New,37.85
2024-10-12,East,Rep_3,Widget A,25,107.53,New,2688.25
2024-04-22,South,Rep_5,Widget B,7,54.31,Repeat,380.17
2024-12-16,East,Rep_8,Widget C,9,120.45,Repeat,1084.05
2024-06-15,East,Rep_5,Premium Pack,24,174.0,New,4176.0
